title,Genre
"The Kissing Booth",Rom-Com
"The Princess Switch",Rom-Com
"To All the Boys: P.S. I Still Love You",Rom-Com
"War Machine",Comedy
"6 Underground",Action
"Between Two Ferns: The Movie",Comedy
"Burning Sands",Drama
"Casting JonBenet",Documentary
"Deidra & Laney Rob a Train",Drama
"Finding 'Ohana",Drama
Holidate,Rom-Com
"Holiday in the Wild",Romance
"Hot Girls Wanted",Documentary
"Like Father",Comedy
"Lost Girls",Mystery
Otherhood,Comedy
"Pee-wee's Big Holiday",Drama
"Rogue City",Drama
Sergio,Biopic
"Stuck Apart",Drama
"Tersanjung the Movie",Drama
"The Killer",Drama
"The Lovebirds",Rom-Com
"The Most Hated Woman in America",Biopic
"The Perfection",Horror
"Tribhanga â€“ Tedhi Medhi Crazy",Drama
"Unknown Origins",Thriller
"Work It",Comedy
"Alien Xmas",Drama
"Baggio: The Divine Ponytail",Biopic
"Below Zero",Drama
Citation,Drama
"Crazy Awesome Teachers",Comedy
"Have You Ever Seen Fireflies?",Comedy
"High Flying Bird",Drama
"In the Shadow of the Moon",Thriller
"Lost Bullet",Thriller
"Octonauts & the Caves of Sac Actun",Anime
"Offering to the Storm",Thriller
"Roxanne Roxanne",Biopic
"Someone Great",Rom-Com
"Spenser Confidential",Action
"The Land of Steady Habits",Drama
"The Rachel Divide",Documentary
Voyuer,Documentary
"Win It All",Comedy
1922,Horror
"A Tale of Two Kitchens",Documentary
"Alex Strangelove",Rom-Com
Apostle,Horror
Benji,Drama
Bright,Drama
Cargo,Drama
"Concrete Cowboy",Drama
"Feel the Beat",Comedy
"Get the Goat",Comedy
"I Am Not an Easy Man",Rom-Com
"June & Kopi",Drama
"Music Teacher",Drama
"Nail Bomber: Manhunt",Documentary
"Notes for My Son",Drama
Polar,Action
"Porta dos Fundos: The Last Hangover",Comedy
"Sand Castle",Action
"Shimmer Lake",Thriller
Spectral,"Science Fiction"
"The Babysitter",Comedy
"The Discovery","Science Fiction"
"The Forest of Love",Drama
"The Laundromat",Comedy
"The Legend of Cocaine Island",Documentary
"The Outsider",Thriller
"Time to Hunt",Thriller
"To All the Boys: Always and Forever",Rom-Com
"Travis Scott: Look Mom I Can Fly",Documentary
Uncorked,Drama
"Anelka: Misunderstood",Documentary
"Ariana Grande: Excuse Me, I Love You","Concert Film"
ARQ,"Science Fiction"
Birders,Documentary
"Como CaÃ­do del Cielo",Musical
"First Match",Drama
Fractured,Thriller
"Irreplaceable You",Drama
"Isi & Ossi",Rom-Com
"John Was Trying to Contact Aliens",Documentary
"Layla Majnun",Romance
"Murder to Mercy: The Cyntoia Brown Story",Documentary
"My Own Man",Documentary
"Nappily Ever After",Comedy
"Over the Moon",Anime
"Street Flow",Drama
"Strong Island",Documentary
"Sturgill Simpson Presents: Sound & Fury",Anime
"Take Your Pills",Documentary
"The Heartbreak Club",Comedy
"The Mars Generation",Documentary
"The Occupant",Thriller
"The Willoughbys",Anime
"Triple Frontier",Thriller
"Two Catalonias",Documentary
"Walk. Ride. Rodeo.",Drama
Wheelman,Thriller
"When We First Met",Rom-Com
"A 3 Minute Hug",Documentary
"All the Bright Places",Romance
